,RegionName,StateName,PurchasePrice,RentPrice,County,RiskScore,RiskRating
0,Los Angeles County,CA,898422.6705973361,2902.197503844516,Los Angeles,100.0,Very High
1,Cook County,IL,325410.4482049592,2295.923884181268,Cook,99.61819917276488,Very High
2,Harris County,TX,286621.78873508464,1676.6986331946057,Harris,99.96818326439707,Very High
3,Maricopa County,AZ,469744.9759983657,1846.1125443075168,Maricopa,97.32739420935411,Relatively High
4,San Diego County,CA,941519.6447768628,3110.709572761624,San Diego,99.68183264397072,Very High
5,Orange County,CA,1182613.0110830695,3249.8281212561583,Orange,99.77728285077951,Very High
6,Kings County,NY,937817.49903679,3623.8130156010297,Kings,98.12281259942729,Relatively High
7,Miami-Dade County,FL,528779.3003876838,2976.5502648763886,Miami-Dade,99.80909958638243,Very High
8,Dallas County,TX,316896.90503463143,1751.2069957196695,Dallas,99.14094813872096,Relatively High
9,Riverside County,CA,614604.0627134045,2660.2436023055748,Riverside,99.93636652879412,Very High
10,Queens County,NY,730025.6815380655,3014.870717334188,Queens,97.39102768055997,Relatively High
11,King County,WA,885515.1765013944,2384.2877599523395,King,99.6500159083678,Very High
12,Clark County,NV,440049.5875363976,1822.9020934702269,Clark,99.3000318167356,Relatively High
13,San Bernardino County,CA,556360.9210934319,2509.456077744328,San Bernardino,99.90454979319122,Very High
14,Tarrant County,TX,330153.8451912226,1732.1985974036795,Tarrant,98.82278078269168,Relatively High
15,Bexar County,TX,263470.3765370151,1470.9700538450363,Bexar,98.28189627744193,Relatively High
16,Santa Clara County,CA,1671504.3629929528,3537.2016514474303,Santa Clara,99.84091632198536,Very High
17,Broward County,FL,432181.88814301445,2551.2501616295417,Broward,99.74546611517657,Very High
18,Wayne County,MI,179482.54569146477,1414.841903474436,Wayne,96.69105949729557,Relatively High
19,Alameda County,CA,1109299.332443861,2893.5231088239525,Alameda,99.87273305758829,Very High
20,New York County,NY,1218684.059161117,4513.046601447983,New York,96.18199172764872,Relatively High
21,Middlesex County,MA,828392.2802576339,3261.808884507672,Middlesex,96.1183582564429,Relatively High
